rank,player_name,cap_percent
1,"Jahmyr Gibbs",37.4
2,"Bijan Robinson",35.5
3,"Christian McCaffrey",33.8
4,"Puka Nacua",32.5
5,"Ja'Marr Chase",32.11
6,"Jaxon Smith-Njigba",29.5
7,"Amon Ra St Brown",29.117
8,"Jonathan Taylor",28.738
9,"CeeDee Lamb",28.365
10,"Ashton Jeanty",27.997
11,"Justin Jefferson",27.633
12,"Omarion Hampton",27.274
13,"James Cook",26.92
14,"AJ Brown",26.571
15,"Drake London",26.226
16,"Chase Brown",25.886
17,"Rashee Rice",25.551
18,"Saquon Barkley",25.219
19,"De'Von Achane",24.893
20,"Derrick Henry",24.57
21,"Kenneth Walker III",24.252
22,"Jeremiyah Love",23.938
23,"George Pickens",23.628
24,"Josh Jacobs",23.322
25,"Nico Collins",23.02
26,"Brock Bowers",22.723
27,"Trey McBride",22.429
28,"Tee Higgins",22.139
29,"Chris Olave",21.853
30,"Josh Allen",21.571
31,"DeVonta Smith",21.292
32,"Emeka Egbuka",21.017
33,"Javonte Williams",20.746
34,"Kyren Williams",20.478
35,"Tetairoa McMillan",20.214
36,"Ladd McConkey",19.954
37,"Zay Flowers",19.696
38,"Lamar Jackson",19.443
39,"Joe Burrow",19.192
40,"Jayden Daniels",18.945
41,"Malik Nabers",18.701
42,"Cam Skattebo",18.46
43,"Drake Maye",18.223
44,"Mike Evans",17.989
45,"Breece Hall",17.758
46,"Davante Adams",17.529
47,"Quinshon Judkins",17.304
48,"Luther Burden III",17.082
49,"TreVeyon Henderson",16.863
50,"D'Andre Swift",16.646
51,"Jaylen Waddle",16.433
52,"Garrett Wilson",16.222
53,"Colston Loveland",16.015
54,"Rome Odunze",15.809
55,"Jameson Williams",15.607
56,"Terry McLaurin",15.407
57,"Bucky Irving",15.21
58,"Travis Etienne Jr.",15.016
59,"DJ Moore",14.824
60,"Bhayshul Tuten",14.634
61,"Carnell Tate",14.448
62,"Jadarian Price",14.263
63,"Tucker Kraft",14.081
64,"Jalen Hurts",13.902
65,"Caleb Williams",13.724
66,"Tyler Warren",13.55
67,"Christian Watson",13.377
68,"David Montgomery",13.207
69,"Brian Thomas Jr.",13.039
70,"Marvin Harrison Jr.",12.873
71,"Rico Dowdle",12.71
72,"Tony Pollard",12.548
73,"DK Metcalf",12.389
74,"Jaxson Dart",12.232
75,"Justin Herbert",12.077
76,"Trevor Lawrence",11.923
77,"J.K. Dobbins",11.772
78,"Harold Fannin Jr.",11.623
79,"Jaylen Warren",11.476
80,"Quentin Johnston",11.331
81,"Michael Wilson",11.188
82,"Alec Pierce",11.047
83,"Rhamondre Stevenson",10.907
84,"Parker Washington",10.77
85,"Chuba Hubbard",10.634
86,"Courtland Sutton",10.5
87,"Blake Corum",10.368
88,"Kyle Monangai",10.237
89,"Jordyn Tyson",10.109
90,"Makai Lemon",9.982
91,"Jordan Addison",9.856
92,"Michael Pittman Jr.",9.732
93,"RJ Harvey",9.61
94,"Dak Prescott",9.49
95,"Sam LaPorta",9.371
96,"Kyle Pitts Sr.",9.254
97,"Wan'Dale Robinson",9.138
98,"Deebo Samuel Sr.",9.024
99,"Darnell Mooney",8.911
100,"Chris Godwin Jr.",8.8
101,"George Kittle",8.8
102,"Jacory Croskey-Merritt",8.284
103,"Jayden Higgins",7.799
104,"Bo Nix",7.342
105,"Brock Purdy",6.912
106,"Patrick Mahomes II",6.507
107,"Matthew Stafford",6.125
108,"Jared Goff",5.766
109,"Woody Marks",5.428
110,"Tyjae Spears",5.11
111,"Dalton Kincaid",4.811
112,"Travis Kelce",4.529
113,"De'Zhaun Stribling",4.264
114,"Matthew Golden",4.014
115,"Jalen Coker",3.779
116,"Rashid Shaheed",3.557
117,"Khalil Shakir",3.349
118,"Stefon Diggs",3.153
119,"Jayden Reed",2.968
120,"Jordan Mason",2.794
121,"Rachaad White",2.63
122,"Jonathon Brooks",2.476
123,"Aaron Jones Sr.",2.331
124,"Kenny Gainwell",2.195
125,"Jakobi Meyers",2.066
126,"Xavier Worthy",1.945
127,"Josh Downs",1.831
128,"Chris Rodriguez Jr.",1.724
129,"Tyrone Tracy Jr.",1.623
130,"Keaton Mitchell",1.528
131,"Romeo Doubs",1.438
132,"Tyler Allgeier",1.354
133,"KC Concepcion",1.275
134,"Isaiah Likely",1.2
135,"Mark Andrews",1.13
136,"Dallas Goedert",1.064
137,"Jake Ferguson",1.001
138,"Kyler Murray",0.943
139,"Baker Mayfield",0.888
140,"Jordan Love",0.836
141,"Tyler Shough",0.787
142,"Malik Willis",0.741
143,"Zach Charbonnet",0.697
144,"Tank Bigsby",0.656
145,"Jonah Coleman",0.618
146,"Isiah Pacheco",0.582
147,"Brian Robinson Jr.",0.548
148,"Alvin Kamara",0.516
149,"Dylan Sampson",0.486
150,"Daniel Jones",0.457
151,"Sam Darnold",0.43
152,"Cam Ward",0.405
153,"Bryce Young",0.382
154,"C.J. Stroud",0.359
155,"Emmett Johnson",0.338
156,"Jerry Jeudy",0.319
157,"Kenyon Sadiq",0.3
158,"Brenton Strange",0.282
159,"Hunter Henry",0.266
160,"Oronde Gadsden II",0.25
161,"Juwan Johnson",0.236
162,"Chig Okonkwo",0.222
163,"Jauan Jennings",0.209
164,"Braelon Allen",0.197
165,"Adonai Mitchell",0.185
166,"Jalen McMillan",0.175
167,"Denzel Boston",0.164
168,"Emanuel Wilson",0.155
169,"Omar Cooper Jr.",0.146
170,"Tre Tucker",0.137
171,"Travis Hunter",0.129
172,"Kimani Vidal",0.122
173,"Kayshon Boutte",0.115
174,"Tre' Harris",0.108
175,"Ray Davis",0.102
176,"Calvin Ridley",0.096
177,"Sean Tucker",0.09
178,"Jacoby Brissett",0.085
179,"Ryan Flournoy",0.08
180,"Isaac TeSlaa",0.076
181,"Jalen Nailor",0.071
182,"Mike Washington Jr.",0.067
183,"James Conner",0.063
184,"Rashod Bateman",0.06
185,"Nicholas Singleton",0.056
186,"Dontayvion Wicks",0.053
187,"Antonio Williams",0.05
188,"Ted Hurst III",0.047
189,"Elijah Sarratt",0.044
190,"Troy Franklin",0.042
191,"Kaytron Allen",0.039
192,"Jaylin Noel",0.037
193,"T.J. Hockenson",0.035
194,"MarShawn Lloyd",0.033
195,"AJ Barner",0.031
196,"Terrance Ferguson",0.029
197,"Dalton Schultz",0.028
198,"Malik Washington",0.026
199,"Aaron Rodgers",0.025
200,"Jaylen Wright",0.023
201,"Jaydon Blue",0.022
202,"Ollie Gordon II",0.021
203,"Tank Dell",0.02
204,"Gunnar Helm",0.018
205,"Pat Freiermuth",0.017
206,"Cooper Kupp",0.016
207,"David Njoku",0.016
208,"Zachariah Branch",0.015
209,"Geno Smith",0.014
210,"Chimere Dike",0.013
211,"Cade Otton",0.012
212,"Elic Ayomanor",0.012
213,"Greg Dulcich",0.011
214,"Keon Coleman",0.011
215,"Germie Bernard",0.01
216,"Demond Claiborne",0.01
217,"Colby Parkinson",0.01
218,"George Holani",0.01
219,"Evan Engram",0.01
220,"Tory Horton",0.01
221,"Jordan James",0.01
222,"Malik Davis",0.01
223,"Justice Hill",0.01
224,"Isaiah Davis",0.01
225,"Jack Bech",0.01
226,"Kaelon Black",0.01
227,"Devin Neal",0.01
228,"Eli Stowers",0.01
229,"Tyreek Hill",0.01
230,"Tyquan Thornton",0.01
231,"Ty Johnson",0.01
232,"Tua Tagovailoa",0.01
233,"Fernando Mendoza",0.01
234,"Chris Brooks",0.01
235,"DJ Giddens",0.01
236,"Theo Johnson",0.01
237,"Chris Bell",0.01
238,"Trey Benson",0.01
239,"Christian Kirk",0.01
240,"Darius Slayton",0.01
241,"Samaje Perine",0.01
242,"Malachi Fields",0.01
243,"Mason Taylor",0.01
244,"Brandon Aiyuk",0.01
245,"Marvin Mims Jr.",0.01
246,"Xavier Legette",0.01
247,"Kaleb Johnson",0.01
248,"Devaughn Vele",0.01
249,"Emari Demercado",0.01
250,"Kendre Miller",0.01
251,"Devin Singletary",0.01
252,"Marquise Brown",0.01
253,"Michael Penix Jr.",0.01
254,"Oscar Delp",0.01
255,"Ja'Kobi Lane",0.01
256,"Mike Gesicki",0.01
257,"Adam Randall",0.01
258,"Kyle Williams",0.01
259,"Keenan Allen",0.01
260,"Kirk Cousins",0.01
261,"Deshaun Watson",0.01
262,"Mack Hollins",0.01
263,"Shedeur Sanders",0.01
264,"LeQuint Allen Jr.",0.01
265,"Seth McGowan",0.01
266,"Erick All Jr.",0.01
267,"Jerome Ford",0.01
268,"Skyler Bell",0.01
269,"Brashard Smith",0.01
270,"Najee Harris",0.01
271,"Isaiah Bond",0.01
272,"Jake Tonges",0.01
273,"Trevor Etienne",0.01
274,"Isaac Guerendo",0.01
275,"Tahj Brooks",0.01
276,"Charlie Smyth",0.01
277,"Andrei Iosivas",0.01
278,"Darnell Washington",0.01
279,"Caleb Douglas",0.01
280,"Jarquez Hunter",0.01
281,"Jaleel McLaughlin",0.01
282,"Cyrus Allen",0.01
283,"Audric Estime",0.01
284,"Chris Brazzell II",0.01
285,"Luke McCaffrey",0.01
286,"Will Shipley",0.01
287,"Tez Johnson",0.01
288,"Joe Mixon",0.01
289,"Cedric Tillman",0.01
290,"Kareem Hunt",0.01
291,"Jalen Tolbert",0.01
292,"Konata Mumpfield",0.01
293,"Max Klare",0.01
294,"Calvin Austin III",0.01
295,"J.J. McCarthy",0.01
296,"Jahan Dotson",0.01
297,"Cole Kmet",0.01
298,"Elijah Arroyo",0.01
299,"Tyler Higbee",0.01
300,"Ja'Tavion Sanders",0.01
301,"Jalen Royals",0.01
302,"Michael Mayer",0.01
303,"Olamide Zaccheaus",0.01
304,"DeMario Douglas",0.01
305,"Dawson Knox",0.01
306,"Joshua Palmer",0.01
307,"Noah Gray",0.01
308,"Treylon Burks",0.01
309,"Carson Beck",0.01
310,"Bam Knight",0.01
311,"Kendrick Bourne",0.01
312,"Michael Carter",0.01
313,"Mac Jones",0.01
314,"Bryce Lance",0.01
315,"Brenen Thompson",0.01
316,"Eli Heidenreich",0.01
317,"Justin Joly",0.01
318,"Eli Raridon",0.01
319,"Dont'e Thornton Jr.",0.01
320,"Raheim Sanders",0.01
321,"Justin Fields",0.01
322,"Jawhar Jordan",0.01
323,"Xavier Hutchinson",0.01
324,"Ty Simpson",0.01
325,"John Metchie III",0.01
326,"J'Mari Taylor",0.01
327,"Jaylin Lane",0.01
328,"Nick Chubb",0.01
329,"Noah Fant",0.01
330,"KaVontae Turpin",0.01
331,"Tutu Atwell",0.01
332,"Savion Williams",0.01
333,"Nick Westbrook-Ikhine",0.01
334,"Kalif Raymond",0.01
335,"Luke Musgrave",0.01
336,"Kevin Coleman Jr.",0.01
337,"Anthony Richardson Sr.",0.01
