full_name,position,team
David Sills,WR,TB
Darius Slayton,WR,NYG
Kerrith Whyte,RB,GB
Andrei Iosivas,WR,CIN
Jake Bobo,WR,SEA
Malik Cunningham,WR,DET
Cedric Tillman,WR,CLE
Roschon Johnson,RB,CHI
Jonathan Mingo,WR,DAL
Jayden Higgins,WR,HOU
Pat Bryant,WR,DEN
Ollie Gordon,RB,MIA
Tez Johnson,WR,TB
Corey Kiner,RB,ARI
RJ Harvey,RB,DEN
Jack Bech,WR,LV
Bhayshul Tuten,RB,JAX
Cam Skattebo,RB,NYG
Levi Wentz,WR,PIT
Michael Briscoe,WR,MIN
Jacob De Jesus,WR,KC
Omari Evans,WR,KC
Keelan Marion,WR,ATL
Le'Meke Brockington,WR,ATL
Kolbe Katsis,WR,DEN
Rodney Hammond,RB,DEN
Dean Patterson,WR,TB
Kadarius Calloway,RB,TB
Kyron Hudson,WR,CHI
Rashad Rochelle,WR,SEA
Trayvon Rudolph,WR,MIN
Mante Morrow,WR,LAC
Ameer Abdullah,RB,JAX
Mike Evans,WR,SF
Myles Montgomery,RB,NE
Brock Rechsteiner,WR,NO
Andrew Beck,RB,NYJ
Malik Turner,WR,SF
Tony Pollard,RB,TEN
Cody White,WR,SEA
Salvon Ahmed,RB,CHI
Isaiah Hodgins,WR,NYG
Mason Kinsey,WR,TEN
Nick Westbrook-Ikhine,WR,IND
Chris Blair,WR,ATL
Dyami Brown,WR,WAS
Chuba Hubbard,RB,CAR
Austin Trammell,WR,JAX
Chris Olave,WR,NO
James Cook,RB,BUF
Derius Davis,WR,LAC
Marvin Mims,WR,DEN
Rashee Rice,WR,KC
Xavier Legette,WR,CAR
Sione Vaki,RB,DET
Luke McCaffrey,WR,WAS
Braelon Allen,RB,NYJ
Amar Johnson,RB,LAC
Darius Cooper,WR,PHI
LaJohntay Wester,WR,BAL
Jackson Meeks,WR,DET
Jamaal Pritchett,WR,NYJ
Eli Pancol,WR,IND
Isaiah Neyor,WR,GB
Chimere Dike,WR,TEN
Ted Hurst,WR,TB
Demond Claiborne,RB,MIN
D.J. Montgomery,WR,IND
Aaron Jones,RB,MIN
Ashton Dulin,WR,IND
J.K. Dobbins,RB,DEN
Tyler Badie,RB,DEN
Eric Gray,RB,NYG
Charlie Jones,WR,CIN
